🉁,三
嫛,𡤖嫕
嫜,傽章
嫟,𡠷嬺
嫠,釐𡟋𡠉
嫢,𫰹𡠝𡣅
嫥,摶專𡞍𡞤
嫧,𡢲
嫨,戁
嫫,𢂳𡠜
嫭,𡚯𡞛嫮𡢙𡛚婟
嫮,嫭
嫯,傲㜜
嫰,嫩媆
嫱,嬙
嫳,𡡹
嫴,估𨐞
嫵,妩憮娬𡣆
嫶,憔癄
嫷,媠
嫸,𡣌𡤮
嫹,媌
嫼,𡣫
嫽,𡢴𠮩
嫿,婳㦎
嬀,妫媯
嬂,𡛰
嬃,媭𡡓𩒭
嬅,𫰡
嬇,𫝬
嬈,娆饒
嬊,嬿
嬍,美媺
嬎,娩㛯𡢎𡤳𡤹𡤺嬔婏
嬐,𫰰僸㚧
嬑,仦
嬒,𫰢薈
嬔,嬎
嬗,壇善嬋禪
嬘,𡟝
嬙,嫱牆𡣰
嬛,𡦃𡞦𡣱煢𠎽妚
嬝,袅裊嫋㜵
嬡,嫒
嬣,𪥰儜
嬤,𡡉嬷
嬦,𫝩
嬭,奶妳㛋㛵𡇲㚷𡛾𡤘
嬮,厭靨
嬯,儓
嬱,㜞
嬳,𡤬
嬴,𡢣𡣍𫲓籝𡢔㜲𦏝
嬵,婂
嬷,𡣥嬤
嬸,婶
嬹,興
嬺,嫟
嬻,𪥿瀆䢱
嬽,𡣬
嬿,嬊𡤈
孁,𩃩靈
孂,𤃾𥶞
孄,𫝮懶嬾
孆,𫝭嬰
孇,𪥫
孈,𡣸
孉,婘𡢸歡
孋,㛤儷𡠈驪
孌,娈奱𡢛𡤣𡤨㜻𡡗
孍,𫲠
孎,𡠟娕娖燭
孏,懶嬾
孒,𠀔子
孓,子
孖,滋
🈑,字
孙,孫𠎊
孞,信
孠,嗣
孡,胎
孨,孱孴
孪,孿
孬,磊𠰺𫺊
孯,掔𡦋
孴,𡥦孨𡥨𡦏
孶,𢀐𢇖孳
孷,𡥽
孹,擘
孻,𡥧𡦌
孼,孽櫱𡦣𦽆
孽,孼𧕏蘖糱𡦣㜸蠥𦽆𦽚𧃯
孾,𪧀嬰
孿,孪欒㝈𤲶
宁,㝉寕寗寧甯著箸佇貯
宂,冗穴
宄,軌𠬚𡧌𡧫究𢗐
宆,穹
宊,家突突
宎,㝔
宐,宜冝
宓,密𧶡
宔,𥘭砫
宖,宏
实,寔實
宠,寵𥦌
审,審
宧,宦𥦪
宨,兆窕
宩,屎
宪,憲
宫,躬共𦞨宮
宬,𡧿𡩍窚
宭,窘
宯,窙
宲,𪧌𡧖實𢉣寶賲
宷,寀審
宺,𡧽
宻,密
宼,寇冦
宽,寬
宾,賓貧
寀,采宷審
寁,簪𢧣𢧺
寈,青靑
寍,寧
寎,窉
寏,𡨡𥦺院
寑,寝寢𡩠𡪢𠖗
寕,宁寧
寖,寢浸𩅕𣹦
寗,宁寧甯
寘,置寔示窴填
寙,窳
寚,寶宝寳
寜,寧
寠,𪧘𡫤窶
寣,𥨉𡩺
寬,宽𡘚𡙤完𡩖寛欢窤𥦀㝟
寯,㝦
寱,囈𡬒𥧵𥨘䆿㦣
寴,𡩁親
寷,𫲸𡫋
对,對𫢘
寻,尋𡬶
导,導
寽,𪧷捋鋝
尀,叵𡬡
尃,甫佈敷専
尌,樹駐侸𠊪
尐,𧉍少
尒,尔𡭗爾尓
尔,尒爾㖇侕内尓
尗,叔菽棖
尘,塵
尙,尚
尛,麽𡭯麼
尝,嘗嚐甞
尞,僚𡼷燎𥛰𢩪𥃥
尟,鲜鮮尠赻
尣,𡯂𡯁尢
尥,𡯌尦𡯚𡯡
尦,尥
尧,堯
尩,𡯁尫㑌尪𡯭𡯲
尪,匡𡯁尩尫𡯪𠅪㑌𡯭𡯲
尫,𡯁尩尪
尬,𠆷𡯕𡯗𡯔魀
尮,𡯦
尯,卼𡯵𣄲𣧼𥎾
尰,𡰁𡰒𡰕𤺄
尲,尷凲尶魐
尳,𩨔𡯜㾶𡰊
尴,尷
尵,𡯺
尶,尷凲尲
尷,尴凲尲𡰉尶𡰛魐
层,層
屃,屓
屄,𣬼毴
屇,㧂
屉,屟𣙝屜
屌,𡰯
屔,𡎿𢇀𡲌泥𥩥
屖,遟犀𡥷
屙,㢐𡱻痾
屚,漏
屛,𫵚屏幈
屜,屧屉𡲕屟
屝,菲扉
屟,屉屧𧀢屜
屢,屡婁𡜸
屣,躧𩋀𩌦𩌳蹝
屦,屨
屧,屜屟𡲕𡲷𡳙䕈𧀢
屨,屦
屩,𪨗蹻屫繑鞽𩌡
屪,𡳇㞠膫
屫,屩
屭,㞒屓
屰,戟逆霸
屳,仚仙
屴,𡴽
屵,𠨲𡹼
屺,𡴾𡵒𡷦岊㞯𡵆
屼,㞦𡵉
屽,岸𡷛
屾,艸
屿,嶼
岀,出齣
岁,嵗歲
岂,豈𡴼
岅,坂阪
岆,崾
岈,谺𧯋𧯓㗿
岊,𡴹𡴺𡴼屺𡵒𡸎𡷦𡴱𡷦
岋,岌
岍,汧𨸦開幵岍
岍,岍
岎,岔
岓,𡵱
岕,𡵚
岖,嶇
岗,崗𣶈
岘,峴
岙,嶴
岚,嵐
岛,㠀島
岜,𡵟𥑁
岝,岞
岞,岝
岠,距據
岢,㞹
岣,𡵺
岤,穴
岥,坡
岦,𡶧
岧,岹
岪,𡶒
岭,嶺岺𡿡
岮,陀
岯,𠃂邳𨸿𨸹𡶌坯
岰,𡵿
岲,𡶢
岴,嶇
岵,𠰛
岹,岧
岺,岭
岽,崬
岿,巋
峀,邦
峃,嶨
峄,嶧
峆,峇
峉,㟯𡾆𡿃
峊,𡶫阜𡴎
峋,𥒘
峌,嵽
峍,嵂𥓎𡷏
峎,𡷐
峒,峝
峔,𡶰
峗,硊峞
峘,𡴿𡵎𡷆𡷗
峛,峢峲
峜,計
峝,峒垌洞
峞,嵬峗
峢,峛
峣,嶢
峤,嶠
峥,崢
峦,巒
峬,俌
峮,㟒𡸙
峱,𤞍嶩巎𡿚巙𡾂
峲,峛
峳,𩥘
峴,岘𡸃
峵,嶸
峹,嵞𡷣𡸂
峼,𡷥
峿,𥒾𡷤𡷤
崁,坎
崂,嶗
崃,崍
崄,嶮
崆,𡹝𡼔
崈,崇
崍,崃㟈
崏,岷
崐,昆崑
崒,萃𡸝崪
崓,崮
崜,𡶲
崝,嶒崢
崞,𡾘䧐
崠,崬
崣,𡹜
崤,𡵔㠙殽
崦,𡹛𡹮嶖
崧,嵩
崨,𡹈㠍㠎
崪,崒
崫,崛𡼿
崬,岽崠東橦檂茏辳
崭,嶃嶄
崮,𡹍崓
崯,崟
崰,𡸟
崱,𡺢
崴,𠋘㟪嵔畏
崵,𫵵𡼍
崷,𡷾𡺚
崸,㟅
崹,嵽
崻,峙
崾,岆
崿,㟧𡼑㠋𡼰𡾙㞻
嵀,柱
嵁,碪
嵂,峍
嵃,嵃
嵃,嵃
嵆,嵇
嵇,嵆
嵉,𡺣
嵊,𡹴𡼺
嵍,𡺱𡻒旄𥓺務
嵏,嵕𡽀
嵑,碣
嵓,喦癌岩嵒巖
嵔,崴㟪
嵕,嵏𡽀
嵗,岁歲𡻕
嵘,嶸
嵚,嶔
嵝,嶁
嵞,塗𡷣峹𡸂𡽚
嵟,崔𡷜
嵠,谿渓溪磎
嵤,嶸
嵨,塢
嵪,墽
嵫,嵫
嵫,嵫
嵭,塝
嵮,巔
嵮,巔
嵲,𡶫𡺼𡸣嶭
嵴,𡹒
嵷,嵸𡵝
嵸,𡵝嵷
嵹,𡾪
嵺,𡻪𡽟嶛嶚
嵻,𡻚
嵼,𡶴𨄉嵼
嵼,嵼
嵽,𫶇峌𡹭𡻜𡼄崹
嵾,㟥㠁𡼶
嶀,𡹻𡻻
嶁,嵝㟺
嶃,崭嶄巉
嶅,墽㟼㠂礉𥂢墺𢳆
嶈,𡺃
嶉,崔
嶍,㠄
嶒,崝𡼳𡿘
嶔,嵚唫崟廞𡼲䃢𡼽
嶕,礁嶣
嶖,崦
嶗,崂㟹
嶘,𡺄㟞𡸚
嶙,𡼵𡽤𡿑
嶚,嶛嵺𡻪
嶛,嶚嵺
嶜,𡼫
嶞,堕𡺆𡽃
嶠,峤喬㠐
嶡,橛蹶
嶣,嶕
嶤,嶢𡸳
嶧,峄𡵸
嶨,峃㙾礐
嶩,峱
嶪,嶫
嶫,嶪
嶭,𡺰𡾦𡾲嵲
嶲,巂雟𡾧
嶲,雟
嶳,地
嶴,岙㠗奥奧
嶵,隹㠑
嶸,嵘峵嵤巆𡵓
嶹,𫝵島嶌嶋
嶻,巀𡾃
嶾,𡽸𡾯
巀,嶻𡾺𡾃
巁,𡽇𡿋
巂,雟規嶲𡾧𨾚𪆳𪈥
巃,巄𡾩𡶹
巄,巃
巅,巔
巆,𫶕嶸謍
巇,𡾟𡾞隵
巊,𪩎𡾸
巋,岿嵬𡿢
巎,峱
巏,𡺟𡺹
巑,㠝
巔,巅顚嵮𡻗巓嵮
巗,岩𪨷巖巌
巘,𪩘鮮巚𡿕甗
巙,峱
巚,巘
巜,澮巛
巟,㠩𣺬𡿬㵁𡿫𠯚㐬𡿰
巠,𢀖坙𡿱經
巢,巣勦巢漅𤔥𥲀
巢,巢
巤,𢀂鬣
🈬,左
巩,鞏𢀜
巬,㠫
巯,巰
巰,巯
巶,昭佋
巸,熙𣢮戺𦣤
巹,卺𢀷𨚡𢀿
巺,巽
巿,市𡴄韍
帀,匝雜迊
币,幣印
帅,帥㩙
帇,𦘒疌
师,師
帉,𢁥
帊,𢁡帕袙袹
帏,幃
帐,帳
帒,袋代太
帓,韤襪
帔,被
帕,帊絈帞絔
帗,𢁵袚韍
帘,簾𪩶
帜,幟
帞,絈絔袹帕
帟,㡩
帠,臬
帡,帲
帢,𢂿㡊𢃫𠕣𧚧𩉉
带,帶帯
帧,幀
帨,帨
帨,帨
帬,裙𢃆
帮,幇幚幫
帱,幬
帲,帡
帴,韉
帺,𢃛𧚈褀綥
帻,幘
帼,幗
帿,侯𢃨
幁,幀順
幂,冪幎
幈,屏屛
幋,褩
幍,絛㡊
幐,㬺縢𦞊𦩫
幑,徽㫎
幒,𢃭𢃓𢃪𢃧衳䘴𧛤䙂𧜢
幓,㡎幧襂縿
幖,𢅚𢅽標
幘,帻䶦𢅙
幙,幕
幚,帮幫
幜,景
幝,𪩷
幞,襆𦄾纀
幠,無撫𢃀𢅿
幦,𧜀𢅓簚
幧,㡑幓
幨,襜𢃔𢅐裧
幩,𪩸𢅯幩
幩,幩
幪,𢄐𧞑
幫,帮幚幇㨍𢸌㿶縍𩋮鞤䩷
幬,帱錞𢃖𢅂𢅱𢄛
幭,𢅓𢅵簚
幮,㡡廚裯
幯,擳
幰,𫷉𢁗
幱,襴𢆄
幷,并併並竝屏摒𥩵𢆙
庀,庇比䚰䚹𠨬
庂,仄
庅,𢇝么吗麻𬌫麼
庆,慶
庈,㕋
庉,𢇠
庋,庪攱㨳𢇸
庍,𢇩廳𤴾
庎,匄楐
庐,廬
庑,廡
庒,庄莊
库,庫
应,應
庘,𤵭
庙,廟
庛,𢉪𢊳
庝,𠩁𢈉
庞,龐𢤱
废,廢癈
庡,㕈
庢,厔
庣,𠩓
庤,峙畤𤲔𤲵
庥,休
庨,𨴹
庪,庋
庬,厖尨
庮,𠩚𢈞𢉷𢈬
庯,陠
庰,𢉟𢊜屏庰
庰,庰
庲,𫷬么麻
庳,毗𢈷𡲎庳
庳,庳
庴,廟
庺,松
庻,庶
庼,廎
庽,寓
庾,㔱𢈔㢏斔斞𣂂𤶉
庿,廟
廀,廋
廄,厩𠤙廐廏𢋁𣉑
廅,㕎
廇,𢊺霤
廋,搜廀
廌,𢊁𤙪𤞝𧣾豸
廎,庼傾䯧𢊼
廑,僅勤厪㢙𢋓
廒,厫𠪭敖
廔,𫷹
廕,荫𫷮蔭
廗,席
廘,鹿
廙,𫷩𢇙㢞
廜,𠪡𢉜
廞,𫷷欽嶔嵌𢉄
廥,括
廦,𠪮壁
廧,𪪞嗇𢊂𢋢𢋾牆𢊉
廪,廩
廫,廖寥
廮,𫷾癭
廲,𢌒
廵,巡
廹,迫
廽,廻𢌞迴
开,幵開亓
异,異𢍀
弆,去棄
弇,𢍔𥦍𥦦𥤴
弈,𢍶奕𢌾𢌸
弎,三
弒,弑𢎊𢎍𢎓𢨓
弙,㢪𢎰
弞,哂𣢀吲矧𣢁㰨
张,張䐏
弡,張𢏷
弢,𡸅㢭𩎢韜
弣,㓡柎
弤,𢎸𢏁
弨,𢐕
弪,弳
弫,弬𢏈
弬,弫
弮,拳卷絭
弳,弪
弴,㢯𢐻
弶,𢐷𢐻𣚦摾
弹,彈弾
强,強彊襁疆𢏟𣚦𧖑叿漒鏹𠼢
弻,弼𢼥
弽,韘㢵𢏲𢐇
彀,句够彄𠥚𢐙
彂,發
彃,𪪼畢
彄,𫸩彀
彆,别𡚂𢏨㢼𥏟憋𡙼
彇,𢑁
彉,彍
彋,㢬
彍,彉
彐,彑雪
归,歸
彔,录𢑗
录,録彔錄
彘,𠅰𢑣𥏉
彚,彙
彛,彜彝
彞,彝
彟,彠
彠,彟蒦矱
彣,㤵文
彤,蚒
彥,彦𢒊𫝸
彧,郁𢒖戫㦽𢒰
彨,彲
彮,容
彯,摽𢒵
彲,彨螭
彴,仢
彵,迤
彶,𠫳
彺,仼
彻,徹
彽,低
徆,価
徉,佯
🈝,後
徍,往
徎,侱逞
徏,陟
徕,徠
🉐,得
徚,𢔅
徛,𢕗碕
徜,倘
徝,陟
徣,借
徤,健
徥,是恃
徦,蝦遐
徧,遍扁偏别辨辬辯㴜蹁𨖠
徬,傍𢔚
徯,傒𧧹𢓽蹊𠌜𥪦
徰,征
徱,𤡑僄𢖣
徲,𠌬𢔭𢔦
徵,征懲壬𧗲徴𢽠𢿁𢾷𢽡
徶,𠍯
德,悳直植得徳恴㥁𢜖㥀𢠀𢤊𨗤𢛳𨗌㧹嘞𢬘𣍨惪
徸,㣫踵蹱
徿,𪫌
忀,躟
忁,儤𢖚
忂,躣
忄,心
忆,憶𢖪
忈,仁
忉,剝𢖫
忋,𢖭
忎,仁
忏,懺忓
忐,𡗶
忒,貣貸慝𢘋
忓,忏
忔,忾
忕,忲𢗗㥭
忛,𢖾帆
忞,忟
忟,忞
忡,𢘷𢥕𢥞𢦃
忢,悟
忣,急㤂
忥,𣱖𢖴
忦,恝
忧,憂㤑
忨,玩頑
忩,总悤怱匆
忪,𢪌𢛒
忬,舒紓預豫
忭,昪
忮,伎
忯,恀
忲,忕㥭
忳,沌諄𢙾憌
忶,𢣒
忷,恟𢗮兇
忹,𢗖狂㤃莣𠻾𢚚恁
忹,狂
忼,亢慷
忾,愾忔
怀,懷
态,態
怂,慫
怃,憮
怄,慪
怅,悵
怆,愴
怈,𢘽
怉,抱
怊,超
怋,惛
怍,㤰作啅拃𠴚𧨳
怓,𢘾𢞙𢜲
怔,佂
怗,㤐惵惉萳
怘,固
怚,怛駔𢚆𪋙
怞,㾄
怢,佚㥆失𥱊帙
怣,尤
怤,懯㤔
怬,呬
怰,𢜚
怳,恍慌
怴,㤜
怵,訹㾁
怷,怸
怸,怷悉
怹,他
总,總忩縂
怼,懟
怽,𢗿
怾,𢡠
怿,懌
恀,忯
恅,𫺘
恇,迋𢝎
恌,愮
恓,恤悽
恔,㤊
恖,思
恘,惆
恜,侙
恝,忦𢗊
恞,夷
恡,吝悋
恧,𠷼𢟄聏𦗂
恱,悅悦
恲,㤣㥊
恳,懇
恴,德
恶,噁惡
恸,慟
恹,懨
恺,愷
恻,惻
恼,惱𪦅
恽,惲
恾,忙
恿,惥慂勇恫
悀,愹愑
悂,𢟵
悅,恱悦
悆,紓
悇,𢣿
悈,𢜾
悊,折哲
悏,𫺂㤲愜
悐,𢙹惕
悑,怖
悓,俔
悝,里
悞,悮誤
悡,𢤂㥎
悢,惊𢝋浪恨
悤,匆總囱忩怱
悥,意𢡃念
您,𢣭你爾尓伱儞𠑓
悫,慤愨
悬,懸
悭,慳
悮,悞誤逜
悯,憫𠽊𢚴
悰,誴宋松颂𢚗𧿛
悱,㥱悲
悹,悺
悺,悹
悻,𢙼
惀,𢛓
惁,𢜣
惂,慆
惃,𢟦
惄,𢙤𢞤𢞔愵𧖷𧗂𩚮𢜷
惈,果
惉,怗𢛈
惊,驚悢
惌,宛怨𥧉愠冤𥧛
惎,𢗏㥍𢤵𢗻
惏,婪啉
惐,淢
惒,和
惔,憺
惕,剔悐惖𢞫𢡕𢙹
惖,惕
惙,輟
惛,閔悶昏怋惽𩇇
惝,㒉𢠵戃
惞,欣俽
惢,蕊语
惤,㡉
惥,恿慂睚
惩,懲
惪,謓悳德㥁𢜖𢠀𢤊
惫,憊
惬,㥦愜
惭,慙慚
惮,憚
惯,慣𪷈
惲,恽圂
惵,怗㥈𢛐𢜨
惸,𡞦𢝼憌
惼,褊
惽,吻閔惛
惾,𢣌
惿,諟
愂,悖誖
愄,𠳿𠴖
愅,諽
愇,𫹴韙幃
愊,幅
愋,援㦥
愌,𢚾
愐,𢗔
愑,悀勇
愒,㵣曷渴𢢚𡳅
愓,𢠽𢡂𢡓
愖,妉忱
愗,懋霿
愘,㤉恪
愙,恪
愜,惬㥦㛍悏
愞,𢘧𢘎䎠懦
愠,怨惌慍䚯溺訓𧪍
愣,楞𢜒
愤,憤
愦,憒
愩,𫺌𢦅穹
愮,𢝾恌
愯,𢥠悚
愱,嫉𧪠
愳,懼
愵,惄𢜷𢞔𧖷
愶,脅恊
愷,恺闓凱豈
愸,整憖
愹,悀
愻,𢙏遜
慁,㥵
慃,𠃽傟
慅,草懆
慆,𫺼韜惂謟
慉,槒
慏,𢟫
慑,慴懾
慒,𢥱𢘄
慜,湣愍
慠,傲㥿𢢡𢕟
慡,爽
慤,悫愨榖
慩,㦁𢣜
慪,怄毆
慬,矜懄
慭,憖
慲,𢟮
慸,㦅懘
慹,執𢡶𢢍𢟯
慺,㥪𢡌
慻,眷
慼,戚慽𠎰
慽,戚慼
慿,憑
憀,𢟺
憁,𢛌愡
憃,惷
憅,慟
憆,瞠
憉,澎
憋,别彆撇𢠳𢢃𥡁𤺓
憌,𢗋惸忳
憍,㤭驕𩿑
憒,愦潰𢤳瞶
憓,譓
憗,憖整
憘,喜憙
憛,尋㤾
憜,惰𡡙𢢠
憝,憞𢥦𢥲譈
憞,憝敦
憠,𠢤
憡,𢙀悚
憢,𢙒僥嘵
憣,翻𢟷
憥,勞憦
憦,𫺘憥
憨,𠐣𣢅㦑𤸕𤺍𤼉
憪,𢢀𢡿
憭,膫
憯,㦧慘𢡄㿊憯
憯,憯
憴,譝
憷,𤻇
憸,𪫺𢘁𢘼
憹,𢙐惱𢥯㛴
憻,坦
憼,儆敬
憽,𢤄
憿,僥儌㦘
懀,𢙓𢘏
懂,𢤦
懄,勤慬懃
懅,𢟶
懎,𢠁𢞮
懑,懣冒鞔满
懒,嬾懶
懓,僾
懔,懍廩伈𢤭
懕,𢤍厭㦔懨
懖,𢤌𦗾𦘉𦘌
懘,慸𢤔𢤅
懙,𫹮𫺙𢢎㦛
懚,㒚
懜,𢟼儚懵𩕫顭𠐧懞
懝,㘈擬𢣕
懞,蒙懵懞懜
懞,懞
懟,怼𪫼𢥓譵
懠,𫺊𢡐𢥎
懡,𢣗䩋𩉌𩉚
懢,嚂
懤,㤽㦞
懧,㤖懦
懨,恹懕
懩,𫺪
懪,𢥑𢥟
懫,儨𡏸𡒐𦥊𦥋
懬,曠懭
懭,懬
懮,憂
懯,怤
懰,劉㚹𢞓𢥍
懵,懜𠐧懞𢢺
戁,𫺷難嫨然
戃,惝
戄,㦜
戅,戇
戆,戇
戇,戆𢥨戅𢦅贛
戋,戔㦮
戏,戯戲
戕,壯𢦤牫牂
戗,戧
战,戰荐
戙,㢥
戜,𢧄國𢎆㦶
戠,只埴𧧬
戢,輯𢨐𧥄
戣,鍨
戥,等
戧,戗搶創
戨,㢦
戩,𢦞戬
戫,彧㦽𢒰
戬,戩
戱,戯戲
戵,瞿鑺
戶,戸户𣥘
户,濩昈扈𣥘㦿𨝞戶戸
戹,厄軛阨
戺,巸𢨪𢩂
戼,卯丣
戽,洿𣶉𢨦
戾,捩癘利纇㑦淚𤟵𤡵盭𢨾戻𫩵
扂,𠂼
扃,冂𢇺扄銄𨩮𨴀𢩁
扄,扃
扅,㢁㦾𢨴𢨹𨳷
扆,依
🈐,手
扌,手
扏,㧨执
扐,材艻劧㧅𠠸
扑,撲樸剥攴揊㩧𤆊
扒,捌丿
🈱,打
扔,戎𢫨
扖,㧎摺𢴇
扗,𢩿在扛壯
扚,約
扜,扝扝
扝,扜扝
扝,扝扜
扟,㧥𢩫𢩲
扡,拖搋移拕
扢,㧉仡圪
扤,𢩫抈𢪨
扥,扽
扦,𢳍𢸯扞
执,執𢩾扏㩏
扩,擴
扪,捫
扫,掃俏
扬,揚敭颺𨒫
扭,杽㨶
扯,撦
扰,擾
扲,擒㧆㩒哽岑𢭞
扳,𢲔攀䛀摱板
扴,𢪅
扵,於
扷,𢪺𬦽拔
扸,析折
扺,疧抵㧗觝
扻,櫛損竷搒
扽,𢻴托扥㧷芚
抁,捝𢯻𢰉挩
抅,拘构
抆,𢪛𢪖捫㨉𢵢捪
抇,𢪏滑搰捝
抈,扤
抋,𢱶
抌,冘㱽𢻼㪛𠜘枕舀抭
抍,𢫑拯
抎,𢵆隕
抏,𢪁玩刓翫献
抐,㨥
🈧,投
抙,捊抔
抚,撫
抝,拗
抟,摶
抠,摳
抡,掄㨆
抢,搶
护,護㖇𣆝
报,報
抦,柄秉㨀䅭拼捠𢪝
抧,𢴠
抨,平拼
抩,𢪈𤙉
抪,𢬾㧫
抭,㧒舀抌
抮,𢷑
抯,担摣𢄄者舍𬅿𣕈
抲,揢荷㧎
抳,柅𢴕
抴,泄曳揲
抸,𢪍挾
抾,𢬱
抿,冺㨉捪
拀,柷祝
拁,㳌枷
拃,柞扎拶怍
拋,放抛𢱹
拎,㩕𢺰拾
拕,拖佗袉扡𨅞
拖,拕佗𠰹柂扡搋拸
拚,翻𡊄判抃𢪴𢬵𢱰𢶳拼拌㭓
拞,抵
拟,儗擬
拢,攏
拣,揀
拤,卡咔押格𣕧弄
拥,擁𢱤𠯹
拦,攔
拧,擰
拨,撥
择,擇
拪,遷
拫,掀艮根
拲,㭟拱𢪒
拴,絟拵
拸,哆搋托拖挆挼𠱹𢱋
拹,搚㩉拉
拺,㩍擉搠捒
拻,豗
拼,抨併拚逬摒抦攀拼
拼,拼
拽,曳𡲝捙
挃,𢰗𢯶秷𥡫𢲼
挄,擴拡櫎
挅,朵挆揣
挆,挅拸
🈯,指
挊,弄挵
挋,賑拒㨷
挍,校交拗撓𢪶
挎,刳摳
挏,恫桐
挐,拿橈𣖹拏
挒,𢴴烈𢪰洌𠗏捩
挔,旅
挕,𢬴攝
挖,穵扼
挗,抉
挚,摯
挛,攣
挜,掗
挝,撾
挞,撻大搭紎达𢪂𧿡
挠,撓
挡,擋攩漟𫽮
挢,撟救
挣,掙𧶄䦛扞撑
挤,擠
挥,揮
挦,撏
挩,𢬁涚税脱脫捝抁
挪,挼捼那𢰓
挬,𢰏
挭,𢯬𢭞
挮,䶏遆
挱,挲𣴷抄
挲,挱𢬰𢶌𣴷
挳,𢭊摼
挴,𢯈悔海
挵,弄挊𢱚
挶,梮拘
挷,搒垹
挸,𢹕𢺃
挹,𨙰抑揖
挼,挪捰捼隋拸
捀,𢪋捧摓
捁,攪撹
捂,渥𢫸握摀
捃,攈𢹲攟㩈𣟸
捄,救球莍
捅,㪌𢳟
捆,綑㨡稛𢮖揾祵
捇,刺𢷓
捈,攄𢳖抒
捊,抙抱㩠
捋,寽
捎,𢭓𢾐
捑,𢯩
捒,束竦𫃥拺摗
捓,揶
捔,𢳇矠𧣀角搰擖
🈨,捕
捙,拽
捛,旅
捝,抁抇奪托脱𢰹挩
捞,撈労撓𫺘
损,損
捠,抦搒
捡,撿
换,換奂𢯉
捣,搗擣𢷬
捥,𢺴腕𢪸𢮘
捦,擒
捪,㨉抔揾抆抿
捬,拊撫
捭,𢬽㪏擺㗗𢮆𢰲
捯,擣撓搗
捰,挼
捱,挨
捴,搃揔摠總
捵,撚
捸,𢸀
捼,挪挼撋
捽,卒挨𢪄𢬪𧺒祽𢴑𢪱
捾,搳
捿,棲栖
掁,㨃
掂,玷
掄,抡𢳳倫論輪
掆,㧏扛𣗵𢱫
掇,剟輟綴𠭴敠
掊,仆抔
掋,抵
掍,𣬑混揾
掐,𠜼
掑,𢮜
掓,叔
掔,牽孯𡦋腕𢴡
掕,勎𠡭
掗,挜
掙,挣
掚,𪭵
掜,棿捏
掝,㩇
掞,贍剡㨛𢴵
掤,冰𢵁撢𢵓
掦,剔
掭,㮇
掮,𠊘
掯,劤
掰,㧳𢯌
掳,擄
掶,𢭞
掷,擲
掸,撣𫼘
掹,捧𢳺
掺,摻暂
掼,摜
掽,碰
掿,搙
揁,鏗㧶
揅,研𥻌揅
揅,揅
揈,㧦掬
揊,𢾇扑撤
揌,塞總
揍,奏
揎,𢱱㩊擐
揑,捏
揓,𢴨
揔,捴𢷝惣總摠𢵃㹅
揗,循楯
揜,掩𨢴
揝,撍攥
揟,𢪵
揠,椻扎
揢,㧎抲
揤,揤
揤,揤
揥,禘
揦,攋揧
揧,𥻌揦
揨,朾𢿦
揪,揫楸
揫,揪酋𢱀𩏶𩏷𩏢
揭,担拮搩𢶆𢷒掲
揯,搄㮓亙𢫮𢳖𢰨
揱,梢𣕇攕
揲,抴𢮕𢱴𢶅𥰰
揳,戛絜
揵,楗摼𨅞
揷,插挿
揸,𠭯摣
揹,背
揽,攬㨫
揾,搵捆捪掍
揿,搇撳
搀,攙
搁,擱
搂,摟
搃,捴總
搄,揯
搅,攪
搇,揿撳
搉,榷㩁确攉
搊,𫼝𢫧𢬞𢬟𢮢𢬆𤚄𤚂
搋,扠扡拖拸𢯯𢲽𢮎
搎,𢶛
搑,擃軵
搒,榜㧍挷𢮔厾扻捠旁
搔,爪㮻𢫼𢮞𢸪𤔢掻𢭒
搘,支
搙,掿
搚,拉拹
搛,𣀃𣀊
搞,敲靠
搟,掀攇
搠,槊拺朔缩
搢,晉縉薦𢸰
搣,𡟬𢳒
搤,扼
搥,捶𢈹槌𢮒㗓𢱸
搩,揭𢫰𢳗
搫,㨇㩯搬
搯,掏𠞞
搰,抇捔掘
搱,雉摨
搲,攨
搳,捾
搵,揾
搷,伸
搸,𢸩
搹,鬲扼
搻,搦
搼,拳
搽,𢴉𢩩
摀,捂
摃,扛𫼱
摄,攝
摅,攄
摆,擺襬
摇,𢳸猶遥瑶繇榆𢭊𢭌㨱𢳘搖揺
摈,擯
摉,搜
摊,攤𫼘
摋,𢫬
摌,𫼪
摍,𢳔𢴀
摏,舂
摐,𪭢鏦㧿𢰑
摑,掴𢧷𢼛𢮎𢹖𧤯爴𤔩敋
摒,幷屏拼
摓,逢捧捀縫
摔,𨄮甩
摕,𢲄梊𢰂摭
摗,駷捒
摙,𫽁
摚,𢻒撑
摛,攡
摜,掼簡慣
摝,𢮑㩠
摞,𢺢𢴱
摟,搂婁
摠,總総緫揔𢭇捴𢵃𢷝㧾
摡,溉𢪑𢷽
摢,摴
摣,𠭯抯揸𢸉
摤,搶磢
摥,𫼟
摦,𡗷𢶎𥧰
摨,搱
摪,𫽣將𢪇
摫,𢶄
摭,拓摕
摮,敲𢿣𢳆𢶗
摰,掣𢳊𢴸
摱,𢶔扳
摲,㨻斬
摳,抠刳挎毆歐樞
摴,摢
摵,槭𡠽𢷾
摷,剿㩰𦾱鈔杪槽筲𪳤𬃸抄摷
摷,摷
摹,模摸撫𢸆
摻,掺𢮥參傪撡攕
摼,牽挳揵𢴡
